name,value,year,lastValue,rank
Microsoft,72795,2016,72282.5,
Coca-Cola,72765.1,2016.1,73102,
IBM,72718.5,2011.5,72155.8,
Coca-Cola,72537,2000,72537,
Coca-Cola,72458.8,2011.1,71861,
Coca-Cola,72428.2,2016.2,72765.1,
Microsoft,72282.5,2015.9,71770,
Apple,72260.4,2011.9,67952.8,
IBM,72244,2014,72900.4,
Coca-Cola,72177.8,2000.1,72537,
IBM,72155.8,2011.4,71593.1,
Coca-Cola,72091.3,2016.3,72428.2,
Google,72082.5,2012.1,69726,
Amazon,71989.6,2017.2,68392.8,
Coca-Cola,71861,2011,71720.1,
Coca-Cola,71818.6,2000.2,72177.8,
Microsoft,71770,2015.8,71257.5,
Coca-Cola,71754.4,2016.4,72091.3,
Coca-Cola,71720.1,2010.9,71579.2,
IBM,71593.1,2011.3,71030.4,
Coca-Cola,71579.2,2010.8,71438.3,
IBM,71529.1,2014.1,72244,
Coca-Cola,71459.4,2000.3,71818.6,
Coca-Cola,71438.3,2010.7,71297.4,
Coca-Cola,71417.5,2016.5,71754.4,
Coca-Cola,71297.4,2010.6,71156.5,
Microsoft,71257.5,2015.7,70745,
Coca-Cola,71156.5,2010.5,71015.6,
Coca-Cola,71100.2,2000.4,71459.4,
Coca-Cola,71080.6,2016.6,71417.5,
IBM,71030.4,2011.2,70467.7,
Coca-Cola,71015.6,2010.4,70874.7,
Coca-Cola,70874.7,2010.3,70733.8,
IBM,70814.2,2014.2,71529.1,
Microsoft,70745,2015.6,70232.5,
Coca-Cola,70743.7,2016.7,71080.6,
Coca-Cola,70741,2000.5,71100.2,
Coca-Cola,70733.8,2010.2,70592.9,
Coca-Cola,70592.9,2010.1,70452,
IBM,70467.7,2011.1,69905,
Coca-Cola,70453,2003,70371.4,
Coca-Cola,70452,2010,70280.2,
Coca-Cola,70406.8,2016.8,70743.7,
Coca-Cola,70381.8,2000.6,70741,
Coca-Cola,70371.4,2002.9,70289.8,
Coca-Cola,70289.8,2002.8,70208.2,
Coca-Cola,70280.2,2009.9,70108.4,
Microsoft,70232.5,2015.5,69720,
Coca-Cola,70208.2,2002.7,70126.6,
Microsoft,70196,2000,70196,
Coca-Cola,70147.1,2003.1,70453,
Coca-Cola,70126.6,2002.6,70045,
Coca-Cola,70108.4,2009.8,69936.6,
IBM,70099.3,2014.3,70814.2,
Coca-Cola,70069.9,2016.9,70406.8,
Coca-Cola,70045,2002.5,69963.4,
Coca-Cola,70022.6,2000.7,70381.8,
Coca-Cola,69963.4,2002.4,69881.8,
Coca-Cola,69936.6,2009.7,69764.8,
IBM,69905,2011,69387.2,
Coca-Cola,69881.8,2002.3,69800.2,
Coca-Cola,69841.2,2003.2,70147.1,
Coca-Cola,69800.2,2002.2,69718.6,
Coca-Cola,69764.8,2009.6,69593,
Coca-Cola,69733,2017,70069.9,
Google,69726,2012,68285.1,
Microsoft,69720,2015.4,69207.5,
Coca-Cola,69718.6,2002.1,69637,
Microsoft,69683.2,2000.1,70196,
Coca-Cola,69663.4,2000.8,70022.6,
Coca-Cola,69637,2002,69567.8,
Coca-Cola,69593,2009.5,69421.2,
Coca-Cola,69567.8,2001.9,69498.6,
